id,kannada_text,english_translation,category,confidence_score,language_pattern,factual_consistency,source_credibility,analysis_notes
11,ಕರ್ನಾಟಕ ಪೋಲೀಸ್ ಹೊಸ ಸೈಬರ್ ಕ್ರೈಮ್ ವಿಭಾಗ ಸ್ಥಾಪಿಸಿದೆ,Karnataka Police establishes new cyber crime department,Real,0.91,official,high,high,Confirmed from police department announcements
12,ಮೈಸೂರು ಪ್ರಾಸಾದ ಮರುಸ್ಥಾಪನೆ ಕಾರ್ಯ ಪೂರ್ಣವಾಗಿದೆ ಎಂದು ಕೆಲವು ಸುದ್ದಿ ಮಾಧ್ಯಮ ಹೇಳುತ್ತಿವೆ,Some news media claim Mysore Palace restoration work is complete,Misleading,0.60,unconfirmed,medium,low,Partial information without complete verification
13,ಬೆಂಗಳೂರಿನ ಪರಿಸರ ಸ್ಥಿತಿ ಸುಧಾರಿಸಿದೆ ಎಂದು ಪರಿಸರ ವಿಭಾಗ ವರದಿ,Environment department reports improved environmental conditions in Bangalore,Real,0.87,report,high,high,Based on official environmental department data
14,ಕರ್ನಾಟಕದಲ್ಲಿ ಕೃತ್ರಿಮ ಮಾನವ ಸೃಷ್ಟಿ ಆದಿತ್ಯ ಸಾಯಿಸಿದೆ ಎಂಬ ಸುದ್ದಿ,News about artificial human creation named Aditya dying in Karnataka,Fake,0.05,fabricated,low,very_low,Science fiction presented as fact
15,ಕನ್ನಡ ಸಿನೆಮಾ ಉದ್ಯಮ ಹೊಸ ಎತ್ತರವನ್ನು ಸ್ಪರ್ಶಿಸಿದೆ ಎಂದು ಚಲನಚಿತ್ರ ಸಂಸ್ಥೆ ಘೋಷಿಸಿದೆ,Film industry announces Kannada cinema industry reaches new heights,Real,0.85,announcement,high,high,Verified from film industry sources
16,ಕರ್ನಾಟಕ ವಿಶ್ವವಿದ್ಯಾಲಯ ಹೊಸ ಕೋರ್ಸ್ ಪ್ರಾರಂಭ ಮಾಡಿದೆ,Karnataka University launches new course,Real,0.89,official,high,high,Confirmed from university announcements
17,ಬೆಂಗಳೂರಿನ ಸಾರ್ವಜನಿಕ ಸಾರಿಗೆ ವ್ಯವಸ್ಥೆ ಪರಿಪೂರ್ಣವಾಗಿ ಬದಲಾಗಿದೆ ಎಂದು ಅಜ್ಞಾತ ಮೂಲ ಹೇಳುತ್ತಿದೆ,Unknown source claims Bangalore public transport system completely changed,Misleading,0.50,vague,low,low,Unverified and exaggerated claims
18,ಕರ್ನಾಟಕ ಸರ್ಕಾರ ಮಹಿಳಾ ಸುರಕ್ಷೆ ಕಾರ್ಯಕ್ರಮ ಹೆಚ್ಚಿಸಿದೆ,Karnataka government increases women safety program,Real,0.92,policy,high,high,Verified from government policy announcements
19,ಮೈಸೂರು ಜಿಲ್ಲೆಯಲ್ಲಿ ಸೋನೆ ಖಣಿ ಕಂಡುಬಂದಿದೆ ಎಂದು ಸುದ್ದಿ,News about gold mine discovered in Mysore district,Fake,0.12,sensational,low,low,Unverified and likely false claim
20,ಬೆಂಗಳೂರು ಐಟಿ ಸೆಕ್ಟರ್ ಹೊಸ ಉದ್ಯೋಗ ಸೃಷ್ಟಿ ಮಾಡಿದೆ,Bangalore IT sector creates new employment opportunities,Real,0.88,news,high,high,Confirmed from IT industry reports
